2025-07-06 15:01:02 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 126.0, 風向: 東南
2025-07-06 15:01:32 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 260.2, 風向: 西
2025-07-06 15:01:33 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 260.2, 風向: 西
2025-07-06 15:02:04 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 31.0, 風向: 北北東
2025-07-06 15:02:04 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 31.0, 風向: 北北東
2025-07-06 15:02:35 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 147.5, 風向: 南南東
2025-07-06 15:02:35 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 147.5, 風向: 南南東
2025-07-06 15:03:06 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 137.7, 風向: 東南
2025-07-06 15:03:07 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 137.7, 風向: 東南
2025-07-06 15:03:37 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 77.5, 風向: 東北東
2025-07-06 15:03:38 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 77.5, 風向: 東北東
2025-07-06 15:04:08 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 13.6, 風向: 北北東
2025-07-06 15:04:09 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 13.6, 風向: 北北東
2025-07-06 15:04:40 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 50.1, 風向: 東北
2025-07-06 15:04:40 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 50.1, 風向: 東北
2025-07-06 15:05:11 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 197.8, 風向: 南南西
2025-07-06 15:05:11 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 197.8, 風向: 南南西
2025-07-06 15:05:42 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 127.4, 風向: 東南
2025-07-06 15:05:43 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 127.4, 風向: 東南
2025-07-06 15:06:13 - ModbusReader - INFO - 風速: 0.1 m/s, 風級: 0, 風向角度: 359.8, 風向: 北
2025-07-06 15:06:14 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 50.6, 風向: 東北
2025-07-06 15:06:44 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 17.0, 風向: 北北東
2025-07-06 15:06:45 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 17.0, 風向: 北北東
2025-07-06 15:07:16 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 149.0, 風向: 南南東
2025-07-06 15:07:16 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 149.0, 風向: 南南東
2025-07-06 15:07:47 - ModbusReader - INFO - 風速: 0.8 m/s, 風級: 1, 風向角度: 162.8, 風向: 南南東
2025-07-06 15:07:47 - ModbusReader - INFO - 風速: 0.8 m/s, 風級: 1, 風向角度: 162.8, 風向: 南南東
2025-07-06 15:08:18 - ModbusReader - INFO - 風速: 0.4 m/s, 風級: 1, 風向角度: 46.9, 風向: 東北
2025-07-06 15:08:19 - ModbusReader - INFO - 風速: 0.4 m/s, 風級: 1, 風向角度: 46.9, 風向: 東北
2025-07-06 15:08:49 - ModbusReader - INFO - 風速: 0.7 m/s, 風級: 1, 風向角度: 107.9, 風向: 東南東
2025-07-06 15:08:50 - ModbusReader - INFO - 風速: 0.7 m/s, 風級: 1, 風向角度: 107.9, 風向: 東南東
2025-07-06 15:09:20 - ModbusReader - INFO - 風速: 0.8 m/s, 風級: 1, 風向角度: 184.0, 風向: 南
2025-07-06 15:09:21 - ModbusReader - INFO - 風速: 0.8 m/s, 風級: 1, 風向角度: 184.0, 風向: 南
2025-07-06 15:09:52 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 59.7, 風向: 東北東
2025-07-06 15:09:52 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 59.7, 風向: 東北東
2025-07-06 15:10:23 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 153.2, 風向: 南南東
2025-07-06 15:10:23 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 153.2, 風向: 南南東
2025-07-06 15:10:54 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 105.4, 風向: 東南東
2025-07-06 15:10:55 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 105.4, 風向: 東南東
2025-07-06 15:11:25 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 310.7, 風向: 西北
