2025-10-21 19:08:37 - ModbusReader - INFO - 找到 風速計 設備: COM3
2025-10-21 19:08:39 - ModbusReader - INFO - 風速: 2.2 m/s, 風級: 2, 風向角度: 98, 風向: E, 濕度: 95.5%, 溫度: 22.4°C
2025-10-21 19:08:44 - ModbusReader - INFO - 風速: 2.3 m/s, 風級: 2, 風向角度: 71, 風向: E, 濕度: 95.4%, 溫度: 22.5°C
2025-10-21 19:08:49 - ModbusReader - INFO - 風速: 2.6 m/s, 風級: 2, 風向角度: 90, 風向: E, 濕度: 95.4%, 溫度: 22.5°C
2025-10-21 19:09:20 - ModbusReader - INFO - 風速: 4.1 m/s, 風級: 3, 風向角度: 137, 風向: SE, 濕度: 95.4%, 溫度: 22.5°C
2025-10-21 19:09:42 - ModbusReader - INFO - 風速: 3.8 m/s, 風級: 3, 風向角度: 133, 風向: SE, 濕度: 95.3%, 溫度: 22.4°C
2025-10-21 19:10:44 - ModbusReader - INFO - 風速: 3.2 m/s, 風級: 2, 風向角度: 69, 風向: E, 濕度: 95.2%, 溫度: 22.4°C
2025-10-21 19:11:00 - ModbusReader - INFO - 風速: 3.1 m/s, 風級: 2, 風向角度: 62, 風向: NE, 濕度: 95.2%, 溫度: 22.4°C
2025-10-21 19:11:14 - ModbusReader - INFO - 風速: 4.1 m/s, 風級: 3, 風向角度: 67, 風向: E, 濕度: 95.2%, 溫度: 22.4°C
2025-10-21 19:11:26 - ModbusReader - INFO - 風速: 2.8 m/s, 風級: 2, 風向角度: 97, 風向: E, 濕度: 95.3%, 溫度: 22.4°C
2025-10-21 19:11:41 - ModbusReader - INFO - 風速: 3.1 m/s, 風級: 2, 風向角度: 90, 風向: E, 濕度: 95.2%, 溫度: 22.4°C
2025-10-21 19:11:58 - ModbusReader - INFO - 風速: 3.4 m/s, 風級: 3, 風向角度: 123, 風向: SE, 濕度: 95.3%, 溫度: 22.4°C
2025-10-21 19:12:31 - ModbusReader - INFO - 風速: 3.5 m/s, 風級: 3, 風向角度: 62, 風向: NE, 濕度: 95.4%, 溫度: 22.4°C
2025-10-21 19:13:20 - ModbusReader - INFO - 風速: 3.2 m/s, 風級: 2, 風向角度: 62, 風向: NE, 濕度: 95.5%, 溫度: 22.5°C
2025-10-21 19:13:31 - ModbusReader - INFO - 風速: 3.9 m/s, 風級: 3, 風向角度: 60, 風向: NE, 濕度: 95.4%, 溫度: 22.5°C
2025-10-21 19:13:45 - ModbusReader - INFO - 風速: 3.4 m/s, 風級: 3, 風向角度: 122, 風向: SE, 濕度: 95.4%, 溫度: 22.5°C
2025-10-21 19:14:08 - ModbusReader - INFO - 風速: 2.9 m/s, 風級: 2, 風向角度: 67, 風向: E, 濕度: 95.4%, 溫度: 22.5°C
2025-10-21 19:14:20 - ModbusReader - INFO - 風速: 2.9 m/s, 風級: 2, 風向角度: 97, 風向: E, 濕度: 95.5%, 溫度: 22.5°C
2025-10-21 19:14:51 - ModbusReader - INFO - 風速: 2.7 m/s, 風級: 2, 風向角度: 127, 風向: SE, 濕度: 95.4%, 溫度: 22.5°C
2025-10-21 19:15:13 - ModbusReader - INFO - 風速: 3.2 m/s, 風級: 2, 風向角度: 67, 風向: E, 濕度: 95.4%, 溫度: 22.5°C
2025-10-21 19:15:29 - ModbusReader - INFO - 風速: 3.1 m/s, 風級: 2, 風向角度: 72, 風向: E, 濕度: 95.3%, 溫度: 22.5°C
2025-10-21 19:15:47 - ModbusReader - INFO - 風速: 2.6 m/s, 風級: 2, 風向角度: 81, 風向: E, 濕度: 95.3%, 溫度: 22.5°C
2025-10-21 19:16:47 - ModbusReader - INFO - 風速: 3.0 m/s, 風級: 2, 風向角度: 77, 風向: E, 濕度: 95.3%, 溫度: 22.5°C
2025-10-21 19:17:05 - ModbusReader - INFO - 風速: 3.5 m/s, 風級: 3, 風向角度: 65, 風向: NE, 濕度: 95.3%, 溫度: 22.5°C
2025-10-21 19:17:37 - ModbusReader - INFO - 風速: 2.8 m/s, 風級: 2, 風向角度: 107, 風向: E, 濕度: 95.2%, 溫度: 22.5°C
2025-10-21 19:18:07 - ModbusReader - INFO - 風速: 3.3 m/s, 風級: 2, 風向角度: 72, 風向: E, 濕度: 95.1%, 溫度: 22.5°C
2025-10-21 19:18:20 - ModbusReader - INFO - 風速: 3.4 m/s, 風級: 3, 風向角度: 71, 風向: E, 濕度: 95.2%, 溫度: 22.4°C
2025-10-21 19:18:37 - ModbusReader - INFO - 風速: 3.8 m/s, 風級: 3, 風向角度: 68, 風向: E, 濕度: 95.1%, 溫度: 22.5°C
